raw_value,clean_for_rules,category,changed_by_cleaning
">100,000 CFU/mL Aerococcus urinae",">100,000 CFU/mL Aerococcus urinae",inequality,No
">100,000 CFU/mL Aerococcus viridans",">100,000 CFU/mL Aerococcus viridans",inequality,No
">100,000 CFU/mL Aeromonas hydrophila group",">100,000 CFU/mL Aeromonas hydrophila group",inequality,No
">100,000 CFU/mL Aeromonas punctata (caviae)",">100,000 CFU/mL Aeromonas punctata (caviae)",inequality,No
">100,000 CFU/mL Alcaligenes faecalis",">100,000 CFU/mL Alcaligenes faecalis",inequality,No
">100,000 CFU/mL Beta Streptococcus",">100,000 CFU/mL Beta Streptococcus",inequality,No
">100,000 CFU/mL Beta Streptococcus group G",">100,000 CFU/mL Beta Streptococcus group G",inequality,No
">100,000 CFU/mL Bifidobacterium species",">100,000 CFU/mL Bifidobacterium species",inequality,No
">100,000 CFU/mL Burkholderia cepacia complex",">100,000 CFU/mL Burkholderia cepacia complex",inequality,No
">100,000 CFU/mL Burkholderia cepacia group",">100,000 CFU/mL Burkholderia cepacia group",inequality,No
">100,000 CFU/mL Candida albicans",">100,000 CFU/mL Candida albicans",inequality,No
">100,000 CFU/mL Candida auris",">100,000 CFU/mL Candida auris",inequality,No
">100,000 CFU/mL Candida dubliniensis",">100,000 CFU/mL Candida dubliniensis",inequality,No
">100,000 CFU/mL Candida glabrata",">100,000 CFU/mL Candida glabrata",inequality,No
">100,000 CFU/mL Candida kefyr",">100,000 CFU/mL Candida kefyr",inequality,No
">100,000 CFU/mL Candida krusei",">100,000 CFU/mL Candida krusei",inequality,No
">100,000 CFU/mL Candida lusitaniae",">100,000 CFU/mL Candida lusitaniae",inequality,No
">100,000 CFU/mL Candida parapsilosis",">100,000 CFU/mL Candida parapsilosis",inequality,No
">100,000 CFU/mL Candida tropicalis",">100,000 CFU/mL Candida tropicalis",inequality,No
">100,000 CFU/mL Candida utilis",">100,000 CFU/mL Candida utilis",inequality,No
">100,000 CFU/mL Capnocytophaga gingivalis",">100,000 CFU/mL Capnocytophaga gingivalis",inequality,No
">100,000 CFU/mL Chryseobacterium indologenes",">100,000 CFU/mL Chryseobacterium indologenes",inequality,No
">100,000 CFU/mL Citrobacter amalonaticus",">100,000 CFU/mL Citrobacter amalonaticus",inequality,No
